OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,amenity,name,wikidata,FID_1,wheelchair,addr_city,addr_house,addr_stree,opening_ho,phone,website,addr_postc,addr_state,brand,brand_wiki,cuisine,ele,gnis_featu,outdoor_se,allotments,cocktails,drink_beer,drink_liqu,drink_wine,created_by,source,happy_hour,building,old_name,bar,diet_vegan,diet_veget,internet_a,payment_ca,payment_cr,payment_de,toilets,toilets_un,tourism,addr_count,check_date,diet_chick,diet_fish,diet_glute,diet_lacto,diet_meat,diet_non_v,diet_ovo_v,diet_plant,diet_seafo,level,payment_ma,payment_vi,opening__1,contact_fa,contact_in,delivery,email,takeaway,website_me,alt_name,drink_coff,smoking,nysgissam_,addr_unit,indoor_sea,wikipedia,name_zh,drink_tea,internet_1,organic,reservatio,toilets_ac,toilets_wh,air_condit,payment__1,fixme,branch,changing_t,facebook,instagram,twitter,addr_floor,highchair,microbrewe,payment_am,payment_di,seats,start_date,contact_ph,contact_we,descriptio,craft,official_n,drink_sake,dog,atm,drink_sang,fax,addr_hou_1,source_ele,payment_co,full_name,opening__2,opening__3,shop,contact_tw,was_name,was_phone,was_websit,not_brand_,disused,catering,addr_flats,alcohol,drink_espr,contact_ti,source_nam,source_cui,building_l,live_music,diet_koshe,short_name,payment__2,diet_halal,drive_in,capacity,url,contact_em,constructi,operator,check_da_1,temp,dish,ref,wheelcha_1,entrance,payment__3,designatio,brewery,sport,note,nursery,opening__4,stars,name_en,wifi,food,was_amenit,payment_bi,not_name,disused_am,drive_thro,leisure,breakfast,drink_whis,drink_byob,black_owne,internet_2,self_servi,height,name_th,contact_sm,phases,name_bn,name_es,payment_ap,drink_smoo,nycdoitt_b,walkup_win,loc_name,diet_lac_1,diet_pesce,strapline,location,name_alt,disused_we,is_in,payment_nf,disused_cu,reservat_1,contact__1,diet_dairy,diet_dai_1,payment__4,phone_mnem,seasonal,diet_nut_f,check_da_2,currency_X,payment__5,payment_li,payment__6,payment_on,coffee,check_da_3,contact__2,fixme_atp,office,diet_soul_,certificat,certific_1,certific_2,brand_en,brand_zh,name_zh_Ha,name_ja,old_websit,opening__5,pets_allow,lunch,disused_sh,contact_li,name_ru,name_it,second_han,was_cuisin,survey_dat,was_brand,was_brand_,brand_ja,theme,take_out,drink_cide,diet_healt,diet_medit,street_ven,website_re,level_ref,contact_na,was_shop,descript_1,women_owne,contact_yo,airside,diet_organ,name_uk,drink_soju,name_ko,website_bo,dinner,name_fa,access,addr_place,amenity_1,name_fr,owner,contact_ye,source_ope,opening__6,name_en_fo,name_etymo,name_ety_1,name_pronu,name_de,image,payment__7,delivery_w,delivery_p,oven,cuisine_ja,drink_bubb,contact_pi,delivery_f,delivery_m,drink_juic,name_tr,toilets_nu,drink_cock,brunch,addr_zip,payment__8,payment,deli,opening__7,restaurant,payment_el,payment_jc,payment_un,fireplace,cafe,payment_pa,nysgissa_1,payment__9,disused_na,jukebox,television,brunch_men,dinner_men,lunch_menu,mapillary,drink_lass,indoor,rice_noodl,payment_eb,country,payment_10,addr_full,changing_1,descript_2,source_ref,construc_1,origin,payment_ch,nysgissa_2,cuisine_di,payment_go,brand_wi_1,pizza_styl,addr_subur,diet_jain,name_ar,payment_qr,drink_sush,karaoke,vegetarian,diet_Carne,name_zh__1,descript_3,payment_ta,payment_te,contact_bl,services,name_vi,kids_area,byob,breakfast_,music,check_da_4,brand_webs,name_yue_H,construc_2,payment_11,year,wikimedia_,cinema,payment_12,offshore,toilets_di,toilets_po,name_ja_rm,toilets_fe,toilets_ha,toilets_pa,website_or,name_bo,opening_da,unit,healthcare,natural,payment_al,payment_we,end_date,operationa,diet_poult,lgbtq,diet_macro,diet_local,contact__3,diet_sugar,service_el,membership,addr_door,payment_13,toilets_me,parking,min_age,descript_4,descript_5,descript_6,descript_7,not_shop,diet_non_h,short_na_1,image_menu,panoramax,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
11,13,10,11,0.079211038959600,Bath Beach,11,Brooklyn,node/2556059182,restaurant,,,node/2556059182,,,2025,Bath Avenue,"Mo-Th 11:00-22:00, Fr-Su 11:00-23:00",+1-718-996-9750,https://www.pinopizzamenu.com,11214,,,,pizza;italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22382.377110989488000,0.000264520535040,11,225,Brooklyn,Bath Beach,Boro Zone,11,526,Brooklyn,Bath Beach,Boro Zone
12,0,11,12,0.036661301357900,Battery Park,12,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5741.595405210317000,0.000041511623673,12,1237,Manhattan,Battery Park,Yellow Zone,12,2116,Manhattan,Battery Park,Yellow Zone
13,15,12,13,0.050281322863100,Battery Park City,13,Manhattan,node/1934502370,restaurant,Blue Smoke,,node/1934502370,yes,,255,Vesey Street,"Th-Sa 11:00-22:00; Mo-We, Su 11:00-21:00",+1-212-889-2005,https://www.bluesmoke.com/location/battery-park-city/,10282,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15934.649694114751000,0.000149358592917,13,26822,Manhattan,Battery Park City,Yellow Zone,13,32352,Manhattan,Battery Park City,Yellow Zone
14,97,13,14,0.175213698053000,Bay Ridge,14,Brooklyn,node/2552509897,restaurant,Positanto,,node/2552509897,,Brooklyn,10018,4th Avenue,Mo-Th 12:00-22:30; Fr-Sa 12:00-23:30; Su 12:00-22:30,+1-718-833-1313,https://www.positanonyc.com/,11209,NY,,,italian,,,street,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44374.319533931332000,0.001381778264420,14,1702,Brooklyn,Bay Ridge,Boro Zone,14,3956,Brooklyn,Bay Ridge,Boro Zone
15,12,14,15,0.144336222620000,Bay Terrace/Fort Totten,15,Queens,node/2883527110,restaurant,H.Crab,,node/2883527110,,Flushing,25-93,Francis Lewis Boulevard,Mo-Th 11:30-22:00; Fr-Sa 11:30-22:30; Su 11:30-22:00,+1-718-819-8835,https://www.hcrabflushing.com/,11358,NY,,,seafood;cajun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39539.908775380121000,0.000925219395547,15,156,Queens,Bay Terrace/Fort Totten,Boro Zone,15,557,Queens,Bay Terrace/Fort Totten,Boro Zone
16,18,15,16,0.141291873771000,Bayside,16,Queens,node/2552966896,restaurant,Mama Lee,,node/2552966896,,Bayside,213-12,48th Avenue,,+1 718 767-8680,,11364,,,,taiwanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42980.406900450820000,0.000871889446182,16,254,Queens,Bayside,Boro Zone,16,945,Queens,Bayside,Boro Zone
17,28,16,17,0.093522632948000,Bedford,17,Brooklyn,node/1927720909,restaurant,Cactus Mexican Restaurant,,node/1927720909,,,,,,,,,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29992.918464307630000,0.000322957654799,17,3759,Brooklyn,Bedford,Boro Zone,17,6387,Brooklyn,Bedford,Boro Zone
18,5,17,18,0.069799549856900,Bedford Park,18,Bronx,node/2809731014,restaurant,Wai Kang Kitchen,,node/2809731014,,Bronx,39,Bedford Park Boulevard,Mo-Sa 11:00-00:00; Su 12:00-23:00,+1 718 933 2797,,10468,NY,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22565.339496123885000,0.000148850163948,18,865,Bronx,Bedford Park,Boro Zone,18,1322,Bronx,Bedford Park,Boro Zone
19,9,18,19,0.101824875452000,Bellerose,19,Queens,node/2553025876,restaurant,King Of India,,node/2553025876,,,249-04,Hillside Avenue,,,,11426,,,,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32088.707039602643000,0.000546661094782,19,352,Queens,Bellerose,Boro Zone,19,706,Queens,Bellerose,Boro Zone
20,21,19,20,0.051440192436200,Belmont,20,Bronx,node/2806937486,restaurant,Mike's deli,,node/2806937486,,,2344,Arthur Avenue,,,,10458,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17117.054627681075000,0.000134512633032,20,461,Bronx,Belmont,Boro Zone,20,1154,Bronx,Belmont,Boro Zone
21,18,20,21,0.115973569062000,Bensonhurst East,21,Brooklyn,node/2555898782,restaurant,N & D Pizza,,node/2555898782,,Brooklyn,107,Avenue U,Mo-Sa 10:30-23:00,+1-718-714-5500,https://www.ndpizzany.com/,11223,NY,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33924.406823567850000,0.000380251345507,21,433,Brooklyn,Bensonhurst East,Boro Zone,21,941,Brooklyn,Bensonhurst East,Boro Zone
22,67,21,22,0.126170229196000,Bensonhurst West,22,Brooklyn,node/2557033990,restaurant,Aurora Pizza,,node/2557033990,,Brooklyn,7624,17th Avenue,,,,11214,NY,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37140.171573810214000,0.000472062684608,22,584,Brooklyn,Bensonhurst West,Boro Zone,22,1396,Brooklyn,Bensonhurst West,Boro Zone
23,26,22,23,0.290556028962000,Bloomfield/Emerson Hill,23,Staten Island,node/5148699250,restaurant,Buffalo Wild Wings,,node/5148699250,,Staten Island,1447,Richmond Avenue,"Mo-We,Su 11:00-24:00, Th-Sa 11:00-25:00",+1 718-983-6912,https://www.buffalowildwings.com/locations/us/ny/staten-island/1447-richmond-avenue/sports-bar-1084/,10314,NY,Buffalo Wild Wings,Q509255,wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BW3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94031.871488952020000,0.002195565762010,23,14,Staten Island,Bloomfield/Emerson Hill,Boro Zone,23,110,Staten Island,Bloomfield/Emerson Hill,Boro Zone
24,34,23,24,0.046999961928700,Bloomingdale,24,Manhattan,node/410235438,restaurant,Trudy's Ice Cream,,node/410235438,,New York,975,Columbus Avenue,Mo-Fr 12:00-21:00; Sa-Su 11:00-21:00,+1-646-649-3612,https://trudysicecream.com,10025,NY,,,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180.641896584235000,0.000060723573775,24,11318,Manhattan,Bloomingdale,Yellow Zone,24,13172,Manhattan,Bloomingdale,Yellow Zone
25,48,24,25,0.047145819931900,Boerum Hill,25,Brooklyn,node/2348727670,restaurant,Bareburger,,node/2348727670,,,149,Court Street,,+1-347-529-6673,https://order.bareburger.com/bareburger-court-street/menu,11201,,,,burger,,,,,,draught,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Th 11:00-21:00;Fr 11:00-22:00;Sa 09:00-22:00;Su 09:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14857.451819269081000,0.000124168267356,25,4525,Brooklyn,Boerum Hill,Boro Zone,25,8055,Brooklyn,Boerum Hill,Boro Zone
26,17,25,26,0.123547807070000,Borough Park,26,Brooklyn,node/2561485139,restaurant,Tengu Sushi & Noodle,,node/2561485139,,Brooklyn,5920,Fort Hamilton Parkway,Mo-Su 11:00-23:00,+1-718-633-3336,,11219,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39247.228832910725000,0.000534039927626,26,773,Brooklyn,Borough Park,Boro Zone,26,1673,Brooklyn,Borough Park,Boro Zone
27,1,26,27,0.202508808518000,Breezy Point/Fort Tilden/Riis Beach,27,Queens,node/1942314293,restaurant,The Bayhouse,,node/1942314293,,,,,,,,,,,,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65960.508934597179000,0.001340887627460,27,12,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,27,81,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
28,6,27,28,0.097960782214000,Briarwood/Jamaica Hills,28,Queens,node/5406249516,restaurant,Alba Ristorante & Pizzaria,,node/5406249516,,,137-65,Queens Boulevard,"Mo-We, Su 11:00-23:00; Th-Sa 11:00-00:00",+1-718-291-1620,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30082.335003007684000,0.000291203927662,28,913,Queens,Briarwood/Jamaica Hills,Boro Zone,28,2061,Queens,Briarwood/Jamaica Hills,Boro Zone
29,26,28,29,0.071408312773300,Brighton Beach,29,Brooklyn,node/2552852333,restaurant,Georgian House,,node/2552852333,,Brooklyn,129,Brighton 1st Street,12:00-24:00,+1-718-759-6555,,11235,NY,,,georgian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21058.800699537882000,0.000201673837402,29,547,Brooklyn,Brighton Beach,Boro Zone,29,979,Brooklyn,Brighton Beach,Boro Zone
30,1,29,30,0.094509766979300,Broad Channel,30,Queens,node/5942713657,restaurant,All American Bagel & Barista II,,node/5942713657,,Broad Channel,20-10,Cross Bay Blvd,Mo-Fr 05:30-17:00; Sa 06:00-17:00; Su 06:00-17:00,+1 718-945-2233,https://www.allamericanbb2.com/,11693,NY,,,bagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/All-American-Bagel-Barista-Company-ll-121119997915353/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30269.439552707012000,0.000145862107626,30,4,Queens,Broad Channel,Boro Zone,30,57,Queens,Broad Channel,Boro Zone
31,0,30,31,0.096424566651600,Bronx Park,31,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32410.121822466903000,0.000333975927329,31,90,Bronx,Bronx Park,Boro Zone,31,405,Bronx,Bronx Park,Boro Zone
